slot_key,block_key,position,template_path,conditions.productCategory.all,conditions.productCategory.skus,conditions.productCategory.category_key,conditions.category.all,conditions.category.category_key,conditions.cms_page.all,conditions.cms_page.page_key
slt-1,blck-2,1,@HomePage/views/home/home.twig,,,,,,,
slt-1,blck-1,2,@HomePage/views/home/home.twig,,,,,,,
slt-2,blck-4,1,@CatalogPage/views/catalog-with-cms-slot/catalog-with-cms-slot.twig,,,,0,"smartphones,smartwatches,tablets,notebooks",,
slt-3,blck-5,1,@CatalogPage/views/catalog-with-cms-slot/catalog-with-cms-slot.twig,,,,0,"smartphones,smartwatches,tablets,notebooks",,
slt-4,blck-6,1,@CatalogPage/views/catalog-with-cms-slot/catalog-with-cms-slot.twig,,,,0,"smartphones,smartwatches,tablets,notebooks",,
slt-5,blck-3,1,@ProductDetailPage/views/pdp/pdp.twig,0,"035,066,078,086,093,139",,,,,
slt-7,blck-8,1,@ShopUi/templates/page-layout-main/page-layout-main.twig,,,,,,,
slt-8,blck-31,1,@ShopUi/templates/page-layout-main/page-layout-main.twig,,,,,,,
slt-8,blck-10,4,@ShopUi/templates/page-layout-main/page-layout-main.twig,,,,,,,
slt-8,blck-11,2,@ShopUi/templates/page-layout-main/page-layout-main.twig,,,,,,,
slt-8,blck-12,3,@ShopUi/templates/page-layout-main/page-layout-main.twig,,,,,,,
slt-8,blck-13,5,@ShopUi/templates/page-layout-main/page-layout-main.twig,,,,,,,
slt-9,blck-9,1,@ShopUi/templates/page-layout-main/page-layout-main.twig,,,,,,,
